Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Category,,,2018-11-09 09:49:03,2018-11-09 09:49:18,14.404s,FAILED
,,,,,,
Test Cases/Category/AddCategory,,,2018-11-09 09:49:04,2018-11-09 09:49:10,6.748s,FAILED
callTestCase,,,2018-11-09 09:49:04,2018-11-09 09:49:10,6.351s,FAILED
,,,,,,
Test Cases/Category/EditCategory,,,2018-11-09 09:49:10,2018-11-09 09:49:13,2.437s,FAILED
Statement - java.lang.Thread.sleep(2000),,,2018-11-09 09:49:11,2018-11-09 09:49:13,2.011s,PASSED
setText,,,2018-11-09 09:49:13,2018-11-09 09:49:13,0.055s,FAILED
,,,,,,
Test Cases/Category/DeleteCategory,,,2018-11-09 09:49:13,2018-11-09 09:49:15,2.259s,FAILED
Statement - java.lang.Thread.sleep(2000),,,2018-11-09 09:49:13,2018-11-09 09:49:15,2.003s,PASSED
setText,,,2018-11-09 09:49:15,2018-11-09 09:49:15,0.009s,FAILED
,,,,,,
Test Cases/Category/AssignCouseAndUser,,,2018-11-09 09:49:15,2018-11-09 09:49:18,2.487s,FAILED
Statement - java.lang.Thread.sleep(2000),,,2018-11-09 09:49:16,2018-11-09 09:49:18,2.002s,PASSED
setText,,,2018-11-09 09:49:18,2018-11-09 09:49:18,0.010s,FAILED
