Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-05 17:02:59,2018-10-05 17:05:35,2m - 35.692s,FAILED
,,,,,,
Test Cases/EditUser,Chrome 69.0.3497.100,,2018-10-05 17:03:00,2018-10-05 17:04:24,1m - 24.221s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:03:00,2018-10-05 17:04:15,1m - 15.051s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:04:15,2018-10-05 17:04:16,0.958s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:04:16,2018-10-05 17:04:16,0.208s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:04:16,2018-10-05 17:04:16,0.129s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:04:16,2018-10-05 17:04:19,3.001s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:04:19,2018-10-05 17:04:21,1.225s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:04:21,2018-10-05 17:04:24,3.000s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-05 17:04:24,2018-10-05 17:04:24,0.092s,PASSED
,,,,,,
Test Cases/AssignUserToCourse,Chrome 69.0.3497.100,,2018-10-05 17:04:24,2018-10-05 17:05:34,1m - 10.153s,FAILED
Statement - java.lang.Thread.sleep(30000),Chrome 69.0.3497.100,,2018-10-05 17:04:24,2018-10-05 17:04:54,30.002s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:04:54,2018-10-05 17:05:34,39.919s,FAILED
