Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Course,Chrome 70.0.3538.77,,2018-11-05 09:15:19,2018-11-05 09:22:40,7m - 20.873s,FAILED
,,,,,,
Test Cases/Course/AddCourse,Chrome 70.0.3538.77,,2018-11-05 09:15:20,2018-11-05 09:15:41,21.413s,PASSED
callTestCase,Chrome 70.0.3538.77,,2018-11-05 09:15:20,2018-11-05 09:15:27,6.561s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 09:15:27,2018-11-05 09:15:32,5.135s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-05 09:15:32,2018-11-05 09:15:34,2.009s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 09:15:34,2018-11-05 09:15:34,0.123s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-05 09:15:34,2018-11-05 09:15:36,2.000s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-05 09:15:36,2018-11-05 09:15:36,0.435s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-05 09:15:36,2018-11-05 09:15:38,2.001s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-05 09:15:38,2018-11-05 09:15:39,0.308s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-05 09:15:39,2018-11-05 09:15:41,2.002s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.77,,2018-11-05 09:15:41,2018-11-05 09:15:41,0.109s,PASSED
Statement - js = driver,Chrome 70.0.3538.77,,2018-11-05 09:15:41,2018-11-05 09:15:41,0.023s,PASSED
"Statement - js.executeScript(""CKEDITOR.instances[""GioiThieuKhoaHoc""].setData(""<p>testContent</p>"")"")",Chrome 70.0.3538.77,,2018-11-05 09:15:41,2018-11-05 09:15:41,0.027s,PASSED
click,Chrome 70.0.3538.77,,2018-11-05 09:15:41,2018-11-05 09:15:41,0.158s,PASSED
,,,,,,
Test Cases/Course/GoToContent,Chrome 70.0.3538.77,,2018-11-05 09:15:41,2018-11-05 09:15:52,11.085s,PASSED
Statement - java.lang.Thread.sleep(4000),Chrome 70.0.3538.77,,2018-11-05 09:15:41,2018-11-05 09:15:45,4.002s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-05 09:15:45,2018-11-05 09:15:46,0.525s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-05 09:15:46,2018-11-05 09:15:48,2.001s,PASSED
