Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Exam,Chrome 71.0.3578.80,,2018-12-12 14:08:23,2018-12-12 14:12:22,3m - 59.305s,FAILED
,,,,,,
Test Cases/Examination/AddExam,Chrome 71.0.3578.80,,2018-12-12 14:08:24,2018-12-12 14:09:27,1m - 2.928s,PASSED
callTestCase,Chrome 71.0.3578.80,,2018-12-12 14:08:25,2018-12-12 14:08:45,20.026s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:08:45,2018-12-12 14:09:07,22.483s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:07,2018-12-12 14:09:09,2.009s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:09,2018-12-12 14:09:11,2.020s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:11,2018-12-12 14:09:13,2.001s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:09:13,2018-12-12 14:09:14,0.656s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:14,2018-12-12 14:09:16,2.002s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:16,2018-12-12 14:09:16,0.151s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:16,2018-12-12 14:09:18,2.002s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:18,2018-12-12 14:09:18,0.143s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:18,2018-12-12 14:09:20,2.002s,PASSED
acceptAlert,Chrome 71.0.3578.80,,2018-12-12 14:09:20,2018-12-12 14:09:20,0.092s,PASSED
Statement - java.lang.Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 14:09:20,2018-12-12 14:09:24,4.001s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:09:24,2018-12-12 14:09:25,0.280s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:25,2018-12-12 14:09:27,2.001s,PASSED
verifyTextPresent,Chrome 71.0.3578.80,,2018-12-12 14:09:27,2018-12-12 14:09:27,0.126s,PASSED
,,,,,,
Test Cases/Examination/EditExam,Chrome 71.0.3578.80,,2018-12-12 14:09:27,2018-12-12 14:10:41,1m - 13.679s,FAILED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:27,2018-12-12 14:09:36,8.730s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:36,2018-12-12 14:09:38,2.001s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:38,2018-12-12 14:09:43,4.679s,PASSED
Statement - java.lang.Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 14:09:43,2018-12-12 14:09:47,4.000s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:47,2018-12-12 14:09:47,0.174s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:47,2018-12-12 14:09:49,2.002s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:09:49,2018-12-12 14:09:49,0.256s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:49,2018-12-12 14:09:51,2.000s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:51,2018-12-12 14:09:51,0.135s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:51,2018-12-12 14:09:53,2.001s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:53,2018-12-12 14:09:53,0.156s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:53,2018-12-12 14:09:55,2.000s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:09:55,2018-12-12 14:09:56,0.331s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:56,2018-12-12 14:09:58,2.002s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:09:58,2018-12-12 14:09:58,0.099s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:09:58,2018-12-12 14:10:00,2.000s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:10:00,2018-12-12 14:10:00,0.111s,PASSED
