Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-05 17:25:28,2018-10-05 17:27:31,2m - 2.588s,FAILED
,,,,,,
Test Cases/EditUser,Chrome 69.0.3497.100,,2018-10-05 17:25:29,2018-10-05 17:26:27,58.481s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:25:29,2018-10-05 17:26:18,48.442s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:26:18,2018-10-05 17:26:19,0.982s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:26:19,2018-10-05 17:26:19,0.568s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:26:19,2018-10-05 17:26:19,0.143s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:26:19,2018-10-05 17:26:22,3.000s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:26:22,2018-10-05 17:26:23,1.070s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:26:23,2018-10-05 17:26:26,3.000s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-05 17:26:26,2018-10-05 17:26:26,0.072s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-05 17:26:26,2018-10-05 17:26:27,0.716s,PASSED
,,,,,,
Test Cases/AssignUserToCourse,Chrome 69.0.3497.100,,2018-10-05 17:26:27,2018-10-05 17:27:30,1m - 2.691s,FAILED
Statement - java.lang.Thread.sleep(30000),Chrome 69.0.3497.100,,2018-10-05 17:26:27,2018-10-05 17:26:57,30.001s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:26:57,2018-10-05 17:27:11,13.384s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:27:11,2018-10-05 17:27:11,0.186s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:27:11,2018-10-05 17:27:14,3.000s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:27:14,2018-10-05 17:27:15,0.915s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:27:15,2018-10-05 17:27:18,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:27:18,2018-10-05 17:27:18,0.084s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:27:18,2018-10-05 17:27:18,0.307s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:27:18,2018-10-05 17:27:21,3.000s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:27:21,2018-10-05 17:27:21,0.077s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:27:21,2018-10-05 17:27:21,0.097s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 17:27:21,2018-10-05 17:27:26,5.001s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-05 17:27:26,2018-10-05 17:27:27,0.069s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:27:27,2018-10-05 17:27:30,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:27:30,2018-10-05 17:27:30,0.358s,FAILED
