Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Message,Chrome 71.0.3578.98,,2018-12-15 11:57:53,2018-12-15 12:00:27,2m - 33.940s,FAILED
,,,,,,
Test Cases/Message/SendMessageForAllUser,Chrome 71.0.3578.98,,2018-12-15 11:57:53,2018-12-15 11:58:30,36.906s,PASSED
callTestCase,Chrome 71.0.3578.98,,2018-12-15 11:57:54,2018-12-15 11:58:08,13.662s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:58:08,2018-12-15 11:58:09,1.100s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 71.0.3578.98,,2018-12-15 11:58:09,2018-12-15 11:58:12,3.001s,PASSED
switchToWindowIndex,Chrome 71.0.3578.98,,2018-12-15 11:58:12,2018-12-15 11:58:12,0.013s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 71.0.3578.98,,2018-12-15 11:58:12,2018-12-15 11:58:12,0.010s,PASSED
verifyMatch,Chrome 71.0.3578.98,,2018-12-15 11:58:12,2018-12-15 11:58:12,0.005s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:58:12,2018-12-15 11:58:12,0.358s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:12,2018-12-15 11:58:14,2.001s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:58:14,2018-12-15 11:58:14,0.085s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:14,2018-12-15 11:58:16,2.001s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:58:16,2018-12-15 11:58:16,0.244s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:16,2018-12-15 11:58:18,2.002s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:58:18,2018-12-15 11:58:19,0.225s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:19,2018-12-15 11:58:21,2.000s,PASSED
uploadFile,Chrome 71.0.3578.98,,2018-12-15 11:58:21,2018-12-15 11:58:21,0.077s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 71.0.3578.98,,2018-12-15 11:58:21,2018-12-15 11:58:24,3.001s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:58:24,2018-12-15 11:58:24,0.083s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:24,2018-12-15 11:58:26,2.000s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:58:26,2018-12-15 11:58:26,0.407s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:26,2018-12-15 11:58:28,2.001s,PASSED
verifyTextPresent,Chrome 71.0.3578.98,,2018-12-15 11:58:28,2018-12-15 11:58:28,0.104s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:28,2018-12-15 11:58:30,2.001s,PASSED
,,,,,,
Test Cases/Message/SendMessageForBranch,Chrome 71.0.3578.98,,2018-12-15 11:58:30,2018-12-15 11:58:56,25.331s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:58:31,2018-12-15 11:58:32,0.977s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 71.0.3578.98,,2018-12-15 11:58:32,2018-12-15 11:58:35,3.000s,PASSED
switchToWindowIndex,Chrome 71.0.3578.98,,2018-12-15 11:58:35,2018-12-15 11:58:35,0.013s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 71.0.3578.98,,2018-12-15 11:58:35,2018-12-15 11:58:35,0.011s,PASSED
verifyMatch,Chrome 71.0.3578.98,,2018-12-15 11:58:35,2018-12-15 11:58:35,0.004s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:58:35,2018-12-15 11:58:35,0.184s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:35,2018-12-15 11:58:37,2.001s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:58:37,2018-12-15 11:58:37,0.138s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:37,2018-12-15 11:58:39,2.001s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:58:39,2018-12-15 11:58:39,0.083s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:39,2018-12-15 11:58:41,2.000s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:58:41,2018-12-15 11:58:41,0.237s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:41,2018-12-15 11:58:43,2.000s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:58:43,2018-12-15 11:58:44,0.811s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:44,2018-12-15 11:58:46,2.001s,PASSED
uploadFile,Chrome 71.0.3578.98,,2018-12-15 11:58:46,2018-12-15 11:58:46,0.058s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 71.0.3578.98,,2018-12-15 11:58:46,2018-12-15 11:58:49,3.002s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:58:49,2018-12-15 11:58:49,0.088s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:49,2018-12-15 11:58:51,2.001s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:58:51,2018-12-15 11:58:52,0.382s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:58:52,2018-12-15 11:58:54,2.000s,PASSED
verifyTextPresent,Chrome 71.0.3578.98,,2018-12-15 11:58:54,2018-12-15 11:58:54,0.088s,PASSED
