Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-05 17:33:04,2018-10-05 17:37:17,4m - 13.363s,PASSED
,,,,,,
Test Cases/Login,Chrome 69.0.3497.100,,2018-10-05 17:33:04,2018-10-05 17:33:14,10.213s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-05 17:33:05,2018-10-05 17:33:08,3.357s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-05 17:33:08,2018-10-05 17:33:09,0.932s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:33:09,2018-10-05 17:33:09,0.196s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:33:09,2018-10-05 17:33:09,0.131s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:33:09,2018-10-05 17:33:09,0.125s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 17:33:09,2018-10-05 17:33:14,5.010s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-05 17:33:14,2018-10-05 17:33:14,0.031s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-05 17:33:14,2018-10-05 17:33:14,0.025s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-05 17:33:14,2018-10-05 17:33:14,0.026s,PASSED
,,,,,,
Test Cases/Fogot password,Chrome 69.0.3497.100,,2018-10-05 17:33:14,2018-10-05 17:33:30,15.230s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-05 17:33:15,2018-10-05 17:33:17,2.647s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-05 17:33:17,2018-10-05 17:33:18,0.941s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:33:18,2018-10-05 17:33:18,0.301s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 17:33:18,2018-10-05 17:33:23,5.001s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-05 17:33:23,2018-10-05 17:33:23,0.010s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-05 17:33:24,2018-10-05 17:33:24,0.011s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-05 17:33:24,2018-10-05 17:33:24,0.002s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:33:24,2018-10-05 17:33:24,0.218s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:33:24,2018-10-05 17:33:24,0.087s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 17:33:24,2018-10-05 17:33:29,5.001s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-05 17:33:29,2018-10-05 17:33:29,0.068s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-05 17:33:29,2018-10-05 17:33:30,0.733s,PASSED
,,,,,,
Test Cases/EditUser,Chrome 69.0.3497.100,,2018-10-05 17:33:30,2018-10-05 17:34:54,1m - 24.276s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:33:30,2018-10-05 17:34:45,1m - 15.070s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:34:45,2018-10-05 17:34:46,0.912s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:34:46,2018-10-05 17:34:46,0.187s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:34:46,2018-10-05 17:34:46,0.090s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:34:46,2018-10-05 17:34:49,3.001s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:34:49,2018-10-05 17:34:50,1.049s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:34:50,2018-10-05 17:34:53,3.001s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-05 17:34:53,2018-10-05 17:34:53,0.068s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-05 17:34:53,2018-10-05 17:34:54,0.726s,PASSED
,,,,,,
Test Cases/AssignUserToCourse,Chrome 69.0.3497.100,,2018-10-05 17:34:54,2018-10-05 17:37:16,2m - 22.427s,PASSED
Statement - java.lang.Thread.sleep(30000),Chrome 69.0.3497.100,,2018-10-05 17:34:54,2018-10-05 17:35:24,30.002s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:35:24,2018-10-05 17:36:07,43.344s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:36:07,2018-10-05 17:36:08,0.162s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:36:08,2018-10-05 17:36:11,3.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:36:11,2018-10-05 17:36:12,0.999s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:36:12,2018-10-05 17:36:15,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:36:15,2018-10-05 17:36:15,0.078s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:36:15,2018-10-05 17:36:15,0.332s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:36:15,2018-10-05 17:36:18,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:36:18,2018-10-05 17:36:18,0.068s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:36:18,2018-10-05 17:36:18,0.086s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 17:36:18,2018-10-05 17:36:23,5.000s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-05 17:36:23,2018-10-05 17:36:23,0.089s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 17:36:23,2018-10-05 17:36:28,5.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:36:28,2018-10-05 17:36:29,0.948s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:36:29,2018-10-05 17:36:29,0.210s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-05 17:36:29,2018-10-05 17:36:29,0.078s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:36:29,2018-10-05 17:36:32,3.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:36:32,2018-10-05 17:36:34,1.277s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:36:34,2018-10-05 17:37:16,42.574s,PASSED
