Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Category,Chrome 70.0.3538.77,,2018-11-09 09:39:19,2018-11-09 09:40:48,1m - 28.836s,FAILED
,,,,,,
Test Cases/Category/AddCategory,Chrome 70.0.3538.77,,2018-11-09 09:39:19,2018-11-09 09:39:54,34.815s,PASSED
callTestCase,Chrome 70.0.3538.77,,2018-11-09 09:39:20,2018-11-09 09:39:26,6.295s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:39:26,2018-11-09 09:39:31,4.359s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:39:31,2018-11-09 09:39:33,2.009s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:39:33,2018-11-09 09:39:33,0.147s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:39:33,2018-11-09 09:39:35,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:39:35,2018-11-09 09:39:35,0.097s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:39:35,2018-11-09 09:39:37,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:39:37,2018-11-09 09:39:37,0.070s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:39:37,2018-11-09 09:39:39,2.000s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 09:39:39,2018-11-09 09:39:39,0.232s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:39:39,2018-11-09 09:39:41,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:39:41,2018-11-09 09:39:41,0.120s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:39:41,2018-11-09 09:39:43,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:39:43,2018-11-09 09:39:43,0.083s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:39:43,2018-11-09 09:39:45,2.002s,PASSED
