Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Category,Chrome 70.0.3538.77,,2018-11-09 09:59:35,2018-11-09 10:01:24,1m - 49.203s,FAILED
,,,,,,
Test Cases/Category/AddCategory,Chrome 70.0.3538.77,,2018-11-09 09:59:35,2018-11-09 10:00:09,34.365s,PASSED
callTestCase,Chrome 70.0.3538.77,,2018-11-09 09:59:36,2018-11-09 09:59:42,5.963s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:59:42,2018-11-09 09:59:46,4.411s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:59:46,2018-11-09 09:59:48,2.009s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:59:48,2018-11-09 09:59:48,0.121s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:59:48,2018-11-09 09:59:50,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:59:50,2018-11-09 09:59:50,0.158s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:59:50,2018-11-09 09:59:52,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:59:52,2018-11-09 09:59:52,0.069s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:59:52,2018-11-09 09:59:54,2.002s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 09:59:54,2018-11-09 09:59:55,0.233s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:59:55,2018-11-09 09:59:57,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:59:57,2018-11-09 09:59:57,0.126s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:59:57,2018-11-09 09:59:59,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:59:59,2018-11-09 09:59:59,0.079s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:59:59,2018-11-09 10:00:01,2.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 10:00:01,2018-11-09 10:00:01,0.204s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 10:00:01,2018-11-09 10:00:03,2.000s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 10:00:03,2018-11-09 10:00:03,0.117s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 10:00:03,2018-11-09 10:00:05,2.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 10:00:05,2018-11-09 10:00:05,0.310s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 10:00:05,2018-11-09 10:00:07,2.001s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-09 10:00:07,2018-11-09 10:00:07,0.106s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 10:00:07,2018-11-09 10:00:09,2.001s,PASSED
,,,,,,
Test Cases/Category/EditCategory,Chrome 70.0.3538.77,,2018-11-09 10:00:09,2018-11-09 10:00:39,29.474s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 10:00:10,2018-11-09 10:00:12,2.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 10:00:12,2018-11-09 10:00:12,0.293s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 10:00:12,2018-11-09 10:00:14,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 10:00:14,2018-11-09 10:00:15,0.931s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 10:00:15,2018-11-09 10:00:17,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 10:00:17,2018-11-09 10:00:18,1.171s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 10:00:18,2018-11-09 10:00:20,2.000s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 10:00:20,2018-11-09 10:00:20,0.372s,PASSED
