Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-04 15:37:04,2018-10-04 15:37:54,50.601s,FAILED
,,,,,,
Test Cases/Login,Chrome 69.0.3497.100,,2018-10-04 15:37:05,2018-10-04 15:37:18,13.027s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:37:05,2018-10-04 15:37:10,4.555s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:37:10,2018-10-04 15:37:11,1.158s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:37:11,2018-10-04 15:37:11,0.368s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:37:11,2018-10-04 15:37:12,0.687s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:37:12,2018-10-04 15:37:12,0.433s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-04 15:37:12,2018-10-04 15:37:17,5.010s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-04 15:37:17,2018-10-04 15:37:18,0.050s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-04 15:37:18,2018-10-04 15:37:18,0.034s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-04 15:37:18,2018-10-04 15:37:18,0.030s,PASSED
,,,,,,
Test Cases/Fogot password,Chrome 69.0.3497.100,,2018-10-04 15:37:18,2018-10-04 15:37:34,16.082s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:37:18,2018-10-04 15:37:21,3.030s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:37:21,2018-10-04 15:37:22,0.990s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:37:22,2018-10-04 15:37:22,0.365s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-04 15:37:22,2018-10-04 15:37:27,5.001s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-04 15:37:27,2018-10-04 15:37:27,0.011s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-04 15:37:27,2018-10-04 15:37:27,0.015s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-04 15:37:27,2018-10-04 15:37:27,0.002s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:37:27,2018-10-04 15:37:28,0.367s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:37:28,2018-10-04 15:37:28,0.126s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-04 15:37:28,2018-10-04 15:37:33,5.001s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-04 15:37:33,2018-10-04 15:37:33,0.072s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-04 15:37:33,2018-10-04 15:37:34,0.769s,PASSED
,,,,,,
Test Cases/AddUser,Chrome 69.0.3497.100,,2018-10-04 15:37:34,2018-10-04 15:37:53,19.738s,FAILED
Statement - java.lang.Thread.sleep(10000),Chrome 69.0.3497.100,,2018-10-04 15:37:34,2018-10-04 15:37:44,10.002s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-04 15:37:44,2018-10-04 15:37:53,9.537s,FAILED
