Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-08 16:38:28,2018-10-08 16:40:37,2m - 8.773s,FAILED
,,,,,,
Test Cases/AssignUserToCourse,Chrome 69.0.3497.100,,2018-10-08 16:38:29,2018-10-08 16:40:27,1m - 57.887s,FAILED
Statement - java.lang.Thread.sleep(30000),Chrome 69.0.3497.100,,2018-10-08 16:38:29,2018-10-08 16:38:59,30.003s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:38:59,2018-10-08 16:39:45,45.625s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:39:45,2018-10-08 16:39:45,0.156s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-08 16:39:45,2018-10-08 16:39:48,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:39:48,2018-10-08 16:39:49,1.016s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-08 16:39:49,2018-10-08 16:39:52,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:39:52,2018-10-08 16:39:52,0.102s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:39:52,2018-10-08 16:39:52,0.265s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-08 16:39:52,2018-10-08 16:39:55,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:39:55,2018-10-08 16:39:56,0.088s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:39:56,2018-10-08 16:39:56,0.104s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-08 16:39:56,2018-10-08 16:40:01,5.001s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-08 16:40:01,2018-10-08 16:40:01,0.074s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-08 16:40:01,2018-10-08 16:40:06,5.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:40:06,2018-10-08 16:40:07,0.918s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:40:07,2018-10-08 16:40:07,0.198s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-08 16:40:07,2018-10-08 16:40:07,0.077s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-08 16:40:07,2018-10-08 16:40:10,3.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:40:10,2018-10-08 16:40:11,1.145s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:40:11,2018-10-08 16:40:27,15.768s,FAILED
,,,,,,
Test Cases/UserInformation,Chrome 69.0.3497.100,,2018-10-08 16:40:27,2018-10-08 16:40:37,9.679s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:40:27,2018-10-08 16:40:37,9.416s,FAILED
