Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-05 16:48:04,2018-10-05 16:50:35,2m - 31.530s,FAILED
,,,,,,
Test Cases/Login,Chrome 69.0.3497.100,,2018-10-05 16:48:04,2018-10-05 16:48:17,12.386s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-05 16:48:05,2018-10-05 16:48:10,4.979s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-05 16:48:10,2018-10-05 16:48:11,1.189s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 16:48:11,2018-10-05 16:48:11,0.222s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 16:48:11,2018-10-05 16:48:12,0.170s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 16:48:12,2018-10-05 16:48:12,0.138s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 16:48:12,2018-10-05 16:48:17,5.008s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-05 16:48:17,2018-10-05 16:48:17,0.052s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-05 16:48:17,2018-10-05 16:48:17,0.047s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-05 16:48:17,2018-10-05 16:48:17,0.034s,PASSED
,,,,,,
Test Cases/Fogot password,Chrome 69.0.3497.100,,2018-10-05 16:48:17,2018-10-05 16:48:33,16.488s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-05 16:48:17,2018-10-05 16:48:20,2.997s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-05 16:48:20,2018-10-05 16:48:22,1.311s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 16:48:22,2018-10-05 16:48:22,0.441s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 16:48:22,2018-10-05 16:48:27,5.001s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-05 16:48:27,2018-10-05 16:48:27,0.016s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-05 16:48:27,2018-10-05 16:48:27,0.016s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-05 16:48:27,2018-10-05 16:48:27,0.002s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 16:48:27,2018-10-05 16:48:27,0.294s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 16:48:27,2018-10-05 16:48:27,0.121s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-05 16:48:27,2018-10-05 16:48:32,5.002s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-05 16:48:32,2018-10-05 16:48:33,0.106s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-05 16:48:33,2018-10-05 16:48:33,0.807s,PASSED
,,,,,,
Test Cases/EditUser,Chrome 69.0.3497.100,,2018-10-05 16:48:33,2018-10-05 16:49:55,1m - 21.611s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 16:48:34,2018-10-05 16:49:46,1m - 12.599s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 16:49:46,2018-10-05 16:49:47,0.933s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 16:49:47,2018-10-05 16:49:47,0.205s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 16:49:47,2018-10-05 16:49:47,0.119s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 16:49:47,2018-10-05 16:49:50,3.001s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 16:49:50,2018-10-05 16:49:52,1.416s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 16:49:52,2018-10-05 16:49:55,3.001s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-05 16:49:55,2018-10-05 16:49:55,0.092s,PASSED
,,,,,,
Test Cases/AssignUserToCourse,Chrome 69.0.3497.100,,2018-10-05 16:49:55,2018-10-05 16:50:34,39.566s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 16:49:55,2018-10-05 16:50:34,39.388s,FAILED
