Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-04 15:38:27,2018-10-04 15:40:11,1m - 44.570s,PASSED
,,,,,,
Test Cases/Login,Chrome 69.0.3497.100,,2018-10-04 15:38:28,2018-10-04 15:38:41,12.991s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:38:29,2018-10-04 15:38:34,4.843s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:38:34,2018-10-04 15:38:35,1.029s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:38:35,2018-10-04 15:38:35,0.328s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:38:35,2018-10-04 15:38:35,0.247s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:38:35,2018-10-04 15:38:35,0.158s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-04 15:38:35,2018-10-04 15:38:40,5.009s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-04 15:38:40,2018-10-04 15:38:40,0.067s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-04 15:38:40,2018-10-04 15:38:40,0.142s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-04 15:38:40,2018-10-04 15:38:41,0.034s,PASSED
,,,,,,
Test Cases/Fogot password,Chrome 69.0.3497.100,,2018-10-04 15:38:41,2018-10-04 15:38:57,16.843s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:38:41,2018-10-04 15:38:44,3.187s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:38:44,2018-10-04 15:38:45,1.068s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:38:45,2018-10-04 15:38:46,0.351s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-04 15:38:46,2018-10-04 15:38:51,5.003s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-04 15:38:51,2018-10-04 15:38:51,0.034s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-04 15:38:51,2018-10-04 15:38:51,0.047s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-04 15:38:51,2018-10-04 15:38:51,0.002s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:38:51,2018-10-04 15:38:51,0.673s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:38:51,2018-10-04 15:38:51,0.188s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-04 15:38:51,2018-10-04 15:38:56,5.002s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-04 15:38:56,2018-10-04 15:38:57,0.082s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-04 15:38:57,2018-10-04 15:38:57,0.805s,PASSED
,,,,,,
Test Cases/AddUser,Chrome 69.0.3497.100,,2018-10-04 15:38:57,2018-10-04 15:40:11,1m - 13.852s,PASSED
Statement - java.lang.Thread.sleep(30000),Chrome 69.0.3497.100,,2018-10-04 15:38:58,2018-10-04 15:39:28,30.001s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-04 15:39:28,2018-10-04 15:39:55,26.883s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:55,2018-10-04 15:39:55,0.117s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-04 15:39:55,2018-10-04 15:40:00,5.001s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:40:00,2018-10-04 15:40:00,0.215s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:40:00,2018-10-04 15:40:00,0.156s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:40:00,2018-10-04 15:40:00,0.247s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:40:00,2018-10-04 15:40:00,0.101s,PASSED
Statement - java.lang.Thread.sleep(10000),Chrome 69.0.3497.100,,2018-10-04 15:40:00,2018-10-04 15:40:10,10.001s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-04 15:40:10,2018-10-04 15:40:10,0.086s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-04 15:40:10,2018-10-04 15:40:11,0.767s,PASSED
