Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-05 17:23:04,2018-10-05 17:24:44,1m - 39.769s,FAILED
,,,,,,
Test Cases/EditUser,Chrome 69.0.3497.100,,2018-10-05 17:23:05,2018-10-05 17:24:04,58.619s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:23:05,2018-10-05 17:23:55,49.248s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:23:55,2018-10-05 17:23:56,1.179s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:23:56,2018-10-05 17:23:56,0.237s,PASSED
click,Chrome 69.0.3497.100,,2018-10-05 17:23:56,2018-10-05 17:23:56,0.131s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:23:56,2018-10-05 17:23:59,3.001s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-05 17:23:59,2018-10-05 17:24:00,1.217s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-05 17:24:00,2018-10-05 17:24:03,3.002s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-05 17:24:03,2018-10-05 17:24:04,0.089s,PASSED
,,,,,,
Test Cases/AssignUserToCourse,Chrome 69.0.3497.100,,2018-10-05 17:24:04,2018-10-05 17:24:43,39.658s,FAILED
Statement - java.lang.Thread.sleep(30000),Chrome 69.0.3497.100,,2018-10-05 17:24:04,2018-10-05 17:24:34,30.002s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-05 17:24:34,2018-10-05 17:24:43,9.459s,FAILED
